Duration (ms),Status Code,Response Body,Timestamp
1739,201,Lift ride recorded for skier 45669,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 44759,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 22186,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 6579,09/03/2024 15:11:51
1735,201,Lift ride recorded for skier 55663,09/03/2024 15:11:51
1737,201,Lift ride recorded for skier 88422,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 46860,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 26337,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 25231,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 53945,09/03/2024 15:11:51
1738,201,Lift ride recorded for skier 25032,09/03/2024 15:11:51
1739,201,Lift ride recorded for skier 97607,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 67559,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 69145,09/03/2024 15:11:51
1735,201,Lift ride recorded for skier 43816,09/03/2024 15:11:51
1738,201,Lift ride recorded for skier 52257,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 2535,09/03/2024 15:11:51
1739,201,Lift ride recorded for skier 10886,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 4292,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 2463,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 82139,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 46478,09/03/2024 15:11:51
1735,201,Lift ride recorded for skier 58132,09/03/2024 15:11:51
1739,201,Lift ride recorded for skier 65341,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 15383,09/03/2024 15:11:51
1736,201,Lift ride recorded for skier 16022,09/03/2024 15:11:51
1734,201,Lift ride recorded for skier 81396,09/03/2024 15:11:51
1735,201,Lift ride recorded for skier 89088,09/03/2024 15:11:51
1739,201,Lift ride recorded for skier 97249,09/03/2024 15:11:51
1738,201,Lift ride recorded for skier 88824,09/03/2024 15:11:51
1739,201,Lift ride recorded for skier 64411,09/03/2024 15:11:51
1740,201,Lift ride recorded for skier 3733,09/03/2024 15:11:51
85,201,Lift ride recorded for skier 52746,09/03/2024 15:11:53
89,201,Lift ride recorded for skier 35657,09/03/2024 15:11:53
94,201,Lift ride recorded for skier 9800,09/03/2024 15:11:53
101,201,Lift ride recorded for skier 90010,09/03/2024 15:11:53
99,201,Lift ride recorded for skier 48916,09/03/2024 15:11:53
106,201,Lift ride recorded for skier 33138,09/03/2024 15:11:53
104,201,Lift ride recorded for skier 65616,09/03/2024 15:11:53
109,201,Lift ride recorded for skier 69127,09/03/2024 15:11:53
111,201,Lift ride recorded for skier 80086,09/03/2024 15:11:53
114,201,Lift ride recorded for skier 39339,09/03/2024 15:11:53
119,201,Lift ride recorded for skier 10336,09/03/2024 15:11:53
126,201,Lift ride recorded for skier 49621,09/03/2024 15:11:53
133,201,Lift ride recorded for skier 49944,09/03/2024 15:11:53
135,201,Lift ride recorded for skier 64309,09/03/2024 15:11:53
136,201,Lift ride recorded for skier 6685,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 28253,09/03/2024 15:11:53
143,201,Lift ride recorded for skier 31476,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 47204,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 64289,09/03/2024 15:11:53
149,201,Lift ride recorded for skier 78394,09/03/2024 15:11:53
145,201,Lift ride recorded for skier 61506,09/03/2024 15:11:53
150,201,Lift ride recorded for skier 72412,09/03/2024 15:11:53
155,201,Lift ride recorded for skier 1225,09/03/2024 15:11:53
157,201,Lift ride recorded for skier 79675,09/03/2024 15:11:53
157,201,Lift ride recorded for skier 621,09/03/2024 15:11:53
167,201,Lift ride recorded for skier 43051,09/03/2024 15:11:53
172,201,Lift ride recorded for skier 81552,09/03/2024 15:11:53
172,201,Lift ride recorded for skier 32598,09/03/2024 15:11:53
179,201,Lift ride recorded for skier 5838,09/03/2024 15:11:53
174,201,Lift ride recorded for skier 15613,09/03/2024 15:11:53
178,201,Lift ride recorded for skier 6398,09/03/2024 15:11:53
180,201,Lift ride recorded for skier 19965,09/03/2024 15:11:53
148,201,Lift ride recorded for skier 63333,09/03/2024 15:11:53
136,201,Lift ride recorded for skier 506,09/03/2024 15:11:53
136,201,Lift ride recorded for skier 32982,09/03/2024 15:11:53
120,201,Lift ride recorded for skier 73710,09/03/2024 15:11:53
152,201,Lift ride recorded for skier 80092,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 53334,09/03/2024 15:11:53
125,201,Lift ride recorded for skier 27579,09/03/2024 15:11:53
126,201,Lift ride recorded for skier 41156,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 19585,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 671,09/03/2024 15:11:53
174,201,Lift ride recorded for skier 4486,09/03/2024 15:11:53
158,201,Lift ride recorded for skier 34555,09/03/2024 15:11:53
153,201,Lift ride recorded for skier 43175,09/03/2024 15:11:53
134,201,Lift ride recorded for skier 14042,09/03/2024 15:11:53
135,201,Lift ride recorded for skier 34654,09/03/2024 15:11:53
144,201,Lift ride recorded for skier 83301,09/03/2024 15:11:53
136,201,Lift ride recorded for skier 62108,09/03/2024 15:11:53
148,201,Lift ride recorded for skier 94009,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 78561,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 12451,09/03/2024 15:11:53
145,201,Lift ride recorded for skier 54722,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 25947,09/03/2024 15:11:53
128,201,Lift ride recorded for skier 69968,09/03/2024 15:11:53
142,201,Lift ride recorded for skier 66589,09/03/2024 15:11:53
131,201,Lift ride recorded for skier 4977,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 51597,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 60430,09/03/2024 15:11:53
133,201,Lift ride recorded for skier 63070,09/03/2024 15:11:53
129,201,Lift ride recorded for skier 94308,09/03/2024 15:11:53
133,201,Lift ride recorded for skier 88712,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 80149,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 37631,09/03/2024 15:11:53
129,201,Lift ride recorded for skier 87720,09/03/2024 15:11:53
130,201,Lift ride recorded for skier 51991,09/03/2024 15:11:53
130,201,Lift ride recorded for skier 83723,09/03/2024 15:11:53
124,201,Lift ride recorded for skier 83395,09/03/2024 15:11:53
134,201,Lift ride recorded for skier 45679,09/03/2024 15:11:53
133,201,Lift ride recorded for skier 97382,09/03/2024 15:11:53
134,201,Lift ride recorded for skier 62616,09/03/2024 15:11:53
148,201,Lift ride recorded for skier 94391,09/03/2024 15:11:53
146,201,Lift ride recorded for skier 34497,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 92004,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 93794,09/03/2024 15:11:53
143,201,Lift ride recorded for skier 57667,09/03/2024 15:11:53
143,201,Lift ride recorded for skier 80144,09/03/2024 15:11:53
139,201,Lift ride recorded for skier 19841,09/03/2024 15:11:53
143,201,Lift ride recorded for skier 31438,09/03/2024 15:11:53
142,201,Lift ride recorded for skier 91614,09/03/2024 15:11:53
144,201,Lift ride recorded for skier 3672,09/03/2024 15:11:53
145,201,Lift ride recorded for skier 21195,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 28780,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 61447,09/03/2024 15:11:53
156,201,Lift ride recorded for skier 99013,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 46429,09/03/2024 15:11:53
152,201,Lift ride recorded for skier 62150,09/03/2024 15:11:53
159,201,Lift ride recorded for skier 40377,09/03/2024 15:11:53
153,201,Lift ride recorded for skier 52516,09/03/2024 15:11:53
156,201,Lift ride recorded for skier 67684,09/03/2024 15:11:53
155,201,Lift ride recorded for skier 74250,09/03/2024 15:11:53
159,201,Lift ride recorded for skier 20025,09/03/2024 15:11:53
152,201,Lift ride recorded for skier 57201,09/03/2024 15:11:53
156,201,Lift ride recorded for skier 63204,09/03/2024 15:11:53
158,201,Lift ride recorded for skier 99124,09/03/2024 15:11:53
163,201,Lift ride recorded for skier 81213,09/03/2024 15:11:53
158,201,Lift ride recorded for skier 2189,09/03/2024 15:11:53
153,201,Lift ride recorded for skier 89739,09/03/2024 15:11:53
163,201,Lift ride recorded for skier 61789,09/03/2024 15:11:53
147,201,Lift ride recorded for skier 76201,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 61245,09/03/2024 15:11:53
145,201,Lift ride recorded for skier 71503,09/03/2024 15:11:53
151,201,Lift ride recorded for skier 60463,09/03/2024 15:11:53
150,201,Lift ride recorded for skier 72506,09/03/2024 15:11:53
152,201,Lift ride recorded for skier 96895,09/03/2024 15:11:53
149,201,Lift ride recorded for skier 72509,09/03/2024 15:11:53
153,201,Lift ride recorded for skier 5097,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 88325,09/03/2024 15:11:53
142,201,Lift ride recorded for skier 28105,09/03/2024 15:11:53
142,201,Lift ride recorded for skier 29254,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 32369,09/03/2024 15:11:53
159,201,Lift ride recorded for skier 7990,09/03/2024 15:11:53
137,201,Lift ride recorded for skier 18934,09/03/2024 15:11:53
136,201,Lift ride recorded for skier 6710,09/03/2024 15:11:53
130,201,Lift ride recorded for skier 25313,09/03/2024 15:11:53
132,201,Lift ride recorded for skier 56346,09/03/2024 15:11:53
176,201,Lift ride recorded for skier 40000,09/03/2024 15:11:53
143,201,Lift ride recorded for skier 46368,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 47548,09/03/2024 15:11:53
150,201,Lift ride recorded for skier 44748,09/03/2024 15:11:53
141,201,Lift ride recorded for skier 24934,09/03/2024 15:11:53
138,201,Lift ride recorded for skier 90920,09/03/2024 15:11:53
140,201,Lift ride recorded for skier 93307,09/03/2024 15:11:53
148,201,Lift ride recorded for skier 17346,09/03/2024 15:11:53
150,201,Lift ride recorded for skier 73822,09/03/2024 15:11:53
140,201,Lift ride recorded for skier 23672,09/03/2024 15:11:53
