Duration (ms),Status Code,Response Body,Timestamp
1676,201,Lift ride recorded for skier 41046,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 45201,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 8730,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 48448,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 76317,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 49776,10/03/2024 21:11:20
1675,201,Lift ride recorded for skier 22849,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 5533,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 1945,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 85124,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 31604,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 54557,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 15191,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 70095,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 2967,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 86354,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 36102,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 60606,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 28910,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 89695,10/03/2024 21:11:20
1677,201,Lift ride recorded for skier 87625,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 72990,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 88449,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 5220,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 74689,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 39797,10/03/2024 21:11:20
1677,201,Lift ride recorded for skier 13903,10/03/2024 21:11:20
1675,201,Lift ride recorded for skier 77260,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 89977,10/03/2024 21:11:20
1679,201,Lift ride recorded for skier 39121,10/03/2024 21:11:20
1678,201,Lift ride recorded for skier 71927,10/03/2024 21:11:20
1676,201,Lift ride recorded for skier 96988,10/03/2024 21:11:20
89,201,Lift ride recorded for skier 53267,10/03/2024 21:11:22
88,201,Lift ride recorded for skier 92415,10/03/2024 21:11:22
88,201,Lift ride recorded for skier 72452,10/03/2024 21:11:22
92,201,Lift ride recorded for skier 58864,10/03/2024 21:11:22
93,201,Lift ride recorded for skier 84052,10/03/2024 21:11:22
96,201,Lift ride recorded for skier 77079,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 62204,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 30574,10/03/2024 21:11:22
102,201,Lift ride recorded for skier 40712,10/03/2024 21:11:22
107,201,Lift ride recorded for skier 19029,10/03/2024 21:11:22
117,201,Lift ride recorded for skier 98410,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 85635,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 99708,10/03/2024 21:11:22
118,201,Lift ride recorded for skier 53164,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 11708,10/03/2024 21:11:22
118,201,Lift ride recorded for skier 24391,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 60995,10/03/2024 21:11:22
119,201,Lift ride recorded for skier 84394,10/03/2024 21:11:22
124,201,Lift ride recorded for skier 82010,10/03/2024 21:11:22
121,201,Lift ride recorded for skier 17486,10/03/2024 21:11:22
120,201,Lift ride recorded for skier 66798,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 93860,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 60142,10/03/2024 21:11:22
126,201,Lift ride recorded for skier 61585,10/03/2024 21:11:22
122,201,Lift ride recorded for skier 76669,10/03/2024 21:11:22
123,201,Lift ride recorded for skier 1187,10/03/2024 21:11:22
